puzzle_id,technique_code,use_count
hsp-93a272320f3f63b40ca6,fullHouse,21
hsp-93a272320f3f63b40ca6,nakedSingle,30
hsp-93a272320f3f63b40ca6,hiddenSingle,4
hsp-850aeba15feead18afec,fullHouse,21
hsp-850aeba15feead18afec,nakedSingle,31
hsp-850aeba15feead18afec,hiddenSingle,3
hsp-c55fbce500391a3792f8,fullHouse,21
hsp-c55fbce500391a3792f8,nakedSingle,29
hsp-c55fbce500391a3792f8,hiddenSingle,5
hsp-6343509cf787977101e8,fullHouse,21
hsp-6343509cf787977101e8,nakedSingle,31
hsp-6343509cf787977101e8,hiddenSingle,6
hsp-ec164552d4272ce0b6ae,fullHouse,20
hsp-ec164552d4272ce0b6ae,nakedSingle,33
hsp-ec164552d4272ce0b6ae,hiddenSingle,3
hsp-ba9221cfeb5cf5d9e05b,fullHouse,21
hsp-ba9221cfeb5cf5d9e05b,nakedSingle,30
hsp-ba9221cfeb5cf5d9e05b,hiddenSingle,5
hsp-ee134b8afbade835d27a,fullHouse,21
hsp-ee134b8afbade835d27a,nakedSingle,28
hsp-ee134b8afbade835d27a,hiddenSingle,7
hsp-8fd58f0cc791b82d0ed3,fullHouse,21
hsp-8fd58f0cc791b82d0ed3,nakedSingle,33
hsp-8fd58f0cc791b82d0ed3,hiddenSingle,2
hsp-e521bdeedd08a8ffdcc3,fullHouse,21
hsp-e521bdeedd08a8ffdcc3,nakedSingle,30
hsp-e521bdeedd08a8ffdcc3,hiddenSingle,5
hsp-f33326b4f384ac01587a,fullHouse,21
hsp-f33326b4f384ac01587a,nakedSingle,31
hsp-f33326b4f384ac01587a,hiddenSingle,4
hsp-ff5a1eb56af573aa60d5,fullHouse,21
hsp-ff5a1eb56af573aa60d5,nakedSingle,29
hsp-ff5a1eb56af573aa60d5,hiddenSingle,6
hsp-10d15419cc24f4217254,fullHouse,21
hsp-10d15419cc24f4217254,nakedSingle,30
hsp-10d15419cc24f4217254,hiddenSingle,5
hsp-cec7c686667bcbc479d9,fullHouse,21
hsp-cec7c686667bcbc479d9,nakedSingle,28
hsp-cec7c686667bcbc479d9,hiddenSingle,7
hsp-caddbaab70dfa4a4542e,fullHouse,21
hsp-caddbaab70dfa4a4542e,nakedSingle,30
hsp-caddbaab70dfa4a4542e,hiddenSingle,6
hsp-f4102e1d6b1067846b40,fullHouse,21
hsp-f4102e1d6b1067846b40,nakedSingle,30
hsp-f4102e1d6b1067846b40,hiddenSingle,6
hsp-c11cb32d320cf312b622,fullHouse,21
hsp-c11cb32d320cf312b622,nakedSingle,26
hsp-c11cb32d320cf312b622,hiddenSingle,10
hsp-d30f2e95a7ce5a1edbb7,fullHouse,21
hsp-d30f2e95a7ce5a1edbb7,nakedSingle,34
hsp-d30f2e95a7ce5a1edbb7,hiddenSingle,2
hsp-da7e14e63f30eef68262,fullHouse,21
hsp-da7e14e63f30eef68262,nakedSingle,34
hsp-da7e14e63f30eef68262,hiddenSingle,2
hsp-fece5748b342fee8f485,fullHouse,21
hsp-fece5748b342fee8f485,nakedSingle,34
hsp-fece5748b342fee8f485,hiddenSingle,2
hsp-b74200f89349b093b2eb,fullHouse,20
hsp-b74200f89349b093b2eb,nakedSingle,29
hsp-b74200f89349b093b2eb,hiddenSingle,6
hsp-6af58b049bd6390d199d,fullHouse,21
hsp-6af58b049bd6390d199d,nakedSingle,32
hsp-6af58b049bd6390d199d,hiddenSingle,2
hsp-5de98c38435a1d7b1bbb,fullHouse,20
hsp-5de98c38435a1d7b1bbb,nakedSingle,30
hsp-5de98c38435a1d7b1bbb,hiddenSingle,5
hsp-04591dc3d8fb5a7ac551,fullHouse,21
hsp-04591dc3d8fb5a7ac551,nakedSingle,28
hsp-04591dc3d8fb5a7ac551,hiddenSingle,6
hsp-ab87ba105ca8f871e6a0,fullHouse,21
hsp-ab87ba105ca8f871e6a0,nakedSingle,29
hsp-ab87ba105ca8f871e6a0,hiddenSingle,6
hsp-b472b6396fa590c6e46c,fullHouse,21
hsp-b472b6396fa590c6e46c,nakedSingle,32
hsp-b472b6396fa590c6e46c,hiddenSingle,3
hsp-22f30f6f03195dfbeb42,fullHouse,21
hsp-22f30f6f03195dfbeb42,nakedSingle,29
hsp-22f30f6f03195dfbeb42,hiddenSingle,6
hsp-49a741f434196024ba0e,fullHouse,20
hsp-49a741f434196024ba0e,nakedSingle,30
hsp-49a741f434196024ba0e,hiddenSingle,6
hsp-da8e9fe9edf0f4e70e07,fullHouse,20
hsp-da8e9fe9edf0f4e70e07,nakedSingle,32
hsp-da8e9fe9edf0f4e70e07,hiddenSingle,4
hsp-65d6f88556c7f4050440,fullHouse,21
hsp-65d6f88556c7f4050440,nakedSingle,29
hsp-65d6f88556c7f4050440,hiddenSingle,6
hsp-5288cd83551a5e0ce61a,fullHouse,21
hsp-5288cd83551a5e0ce61a,nakedSingle,29
hsp-5288cd83551a5e0ce61a,hiddenSingle,6
hsp-9e0ee491a92e527e9164,fullHouse,21
hsp-9e0ee491a92e527e9164,nakedSingle,31
hsp-9e0ee491a92e527e9164,hiddenSingle,5
hsp-79b36424588076d72b8e,fullHouse,20
hsp-79b36424588076d72b8e,nakedSingle,32
hsp-79b36424588076d72b8e,hiddenSingle,5
hsp-79d67f6fae970647e297,fullHouse,21
hsp-79d67f6fae970647e297,nakedSingle,29
hsp-79d67f6fae970647e297,hiddenSingle,7
hsp-053ada65ac0dcba5efed,fullHouse,21
hsp-053ada65ac0dcba5efed,nakedSingle,31
hsp-053ada65ac0dcba5efed,hiddenSingle,5
hsp-1f8272222e876a4f4332,fullHouse,21
hsp-1f8272222e876a4f4332,nakedSingle,28
hsp-1f8272222e876a4f4332,hiddenSingle,8
hsp-df14adf212f5ac6e0494,fullHouse,21
hsp-df14adf212f5ac6e0494,nakedSingle,31
hsp-df14adf212f5ac6e0494,hiddenSingle,5
hsp-14169e7d3748fa68ac62,fullHouse,20
hsp-14169e7d3748fa68ac62,nakedSingle,25
hsp-14169e7d3748fa68ac62,hiddenSingle,10
hsp-04e951fa3854599954bc,fullHouse,21
hsp-04e951fa3854599954bc,nakedSingle,27
hsp-04e951fa3854599954bc,hiddenSingle,7
hsp-887ee9e0e0c82d484483,fullHouse,21
hsp-887ee9e0e0c82d484483,nakedSingle,27
hsp-887ee9e0e0c82d484483,hiddenSingle,7
hsp-5dcd9154205487cc9a27,fullHouse,21
hsp-5dcd9154205487cc9a27,nakedSingle,20
hsp-5dcd9154205487cc9a27,hiddenSingle,14
hsp-d54f187fbfba3d129a31,fullHouse,21
hsp-d54f187fbfba3d129a31,nakedSingle,32
hsp-d54f187fbfba3d129a31,hiddenSingle,5
hsp-1859636640bc605e800d,fullHouse,21
hsp-1859636640bc605e800d,nakedSingle,25
hsp-1859636640bc605e800d,hiddenSingle,12
hsp-bf9c89c0e6944ffdb16f,fullHouse,21
hsp-bf9c89c0e6944ffdb16f,nakedSingle,31
hsp-bf9c89c0e6944ffdb16f,hiddenSingle,6
hsp-da196b8ea183a71eeee1,fullHouse,21
hsp-da196b8ea183a71eeee1,nakedSingle,30
hsp-da196b8ea183a71eeee1,hiddenSingle,5
hsp-123e5c9f8572c2d1977f,fullHouse,21
hsp-123e5c9f8572c2d1977f,nakedSingle,31
hsp-123e5c9f8572c2d1977f,hiddenSingle,4
hsp-6605d5499e24792db364,fullHouse,21
hsp-6605d5499e24792db364,nakedSingle,32
hsp-6605d5499e24792db364,hiddenSingle,3
hsp-65883fbc0891f8fe6d62,fullHouse,20
hsp-65883fbc0891f8fe6d62,nakedSingle,28
hsp-65883fbc0891f8fe6d62,hiddenSingle,8
hsp-f98b6db23c288849e5bc,fullHouse,21
hsp-f98b6db23c288849e5bc,nakedSingle,30
hsp-f98b6db23c288849e5bc,hiddenSingle,5
hsp-aa9ccb890def15ccd18d,fullHouse,21
hsp-aa9ccb890def15ccd18d,nakedSingle,32
hsp-aa9ccb890def15ccd18d,hiddenSingle,3
hsp-47c011d95609d7877ab0,fullHouse,21
hsp-47c011d95609d7877ab0,nakedSingle,28
hsp-47c011d95609d7877ab0,hiddenSingle,7
hsp-1ea5e010c6579f4632ea,fullHouse,21
hsp-1ea5e010c6579f4632ea,nakedSingle,31
hsp-1ea5e010c6579f4632ea,hiddenSingle,7
hsp-52779320ae869e8e5ced,fullHouse,20
hsp-52779320ae869e8e5ced,nakedSingle,32
hsp-52779320ae869e8e5ced,hiddenSingle,5
hsp-0683a862e8547917cfe6,fullHouse,20
hsp-0683a862e8547917cfe6,nakedSingle,27
hsp-0683a862e8547917cfe6,hiddenSingle,10
hsp-0f9516eb55b1e53a9f6f,fullHouse,21
hsp-0f9516eb55b1e53a9f6f,nakedSingle,27
hsp-0f9516eb55b1e53a9f6f,hiddenSingle,9
hsp-6f65c59a3a195b1afb08,fullHouse,21
hsp-6f65c59a3a195b1afb08,nakedSingle,30
hsp-6f65c59a3a195b1afb08,hiddenSingle,6
hsp-cc7a83780c9101fae805,fullHouse,21
hsp-cc7a83780c9101fae805,nakedSingle,35
hsp-cc7a83780c9101fae805,hiddenSingle,1
hsp-3a60253dff55df64b6fc,fullHouse,20
hsp-3a60253dff55df64b6fc,nakedSingle,32
hsp-3a60253dff55df64b6fc,hiddenSingle,5
hsp-32bdd63c13f5c14fefeb,fullHouse,21
hsp-32bdd63c13f5c14fefeb,nakedSingle,34
hsp-32bdd63c13f5c14fefeb,hiddenSingle,2
hsp-6415c3d6c326070afcd9,fullHouse,20
hsp-6415c3d6c326070afcd9,nakedSingle,33
hsp-6415c3d6c326070afcd9,hiddenSingle,4
hsp-b5d86922f817ba9fae04,fullHouse,21
hsp-b5d86922f817ba9fae04,nakedSingle,28
hsp-b5d86922f817ba9fae04,hiddenSingle,6
hsp-45f2f24d0f8970b1f152,fullHouse,21
hsp-45f2f24d0f8970b1f152,nakedSingle,27
hsp-45f2f24d0f8970b1f152,hiddenSingle,7
hsp-48b8c0a043e60ab00b71,fullHouse,21
hsp-48b8c0a043e60ab00b71,nakedSingle,28
hsp-48b8c0a043e60ab00b71,hiddenSingle,6
hsp-7a91d4658b2e2ebc63b8,fullHouse,20
hsp-7a91d4658b2e2ebc63b8,nakedSingle,27
hsp-7a91d4658b2e2ebc63b8,hiddenSingle,8
hsp-99f02f03f94870e9335a,fullHouse,20
hsp-99f02f03f94870e9335a,nakedSingle,27
hsp-99f02f03f94870e9335a,hiddenSingle,8
hsp-5dae58c740e392d7d322,fullHouse,19
hsp-5dae58c740e392d7d322,nakedSingle,29
hsp-5dae58c740e392d7d322,hiddenSingle,7
hsp-580706225d28b2c5b44c,fullHouse,21
hsp-580706225d28b2c5b44c,nakedSingle,34
hsp-580706225d28b2c5b44c,hiddenSingle,3
hsp-ee1af61c0622fd69f70f,fullHouse,21
hsp-ee1af61c0622fd69f70f,nakedSingle,34
hsp-ee1af61c0622fd69f70f,hiddenSingle,3
hsp-95ddbd252c6299c5f000,fullHouse,20
hsp-95ddbd252c6299c5f000,nakedSingle,31
hsp-95ddbd252c6299c5f000,hiddenSingle,7
hsp-39bd144d4b14c269d5b5,fullHouse,21
hsp-39bd144d4b14c269d5b5,nakedSingle,29
hsp-39bd144d4b14c269d5b5,hiddenSingle,6
hsp-4ffc089403eb38b5187c,fullHouse,20
hsp-4ffc089403eb38b5187c,nakedSingle,28
hsp-4ffc089403eb38b5187c,hiddenSingle,8
hsp-ea13b13254bb73a714fb,fullHouse,20
hsp-ea13b13254bb73a714fb,nakedSingle,30
hsp-ea13b13254bb73a714fb,hiddenSingle,6
hsp-5cb0b05f4f73650752c5,fullHouse,20
hsp-5cb0b05f4f73650752c5,nakedSingle,28
hsp-5cb0b05f4f73650752c5,hiddenSingle,8
hsp-b0c154d3e3ed1586ef9d,fullHouse,21
hsp-b0c154d3e3ed1586ef9d,nakedSingle,32
hsp-b0c154d3e3ed1586ef9d,hiddenSingle,3
hsp-0d2296d0d6688530990d,fullHouse,20
hsp-0d2296d0d6688530990d,nakedSingle,27
hsp-0d2296d0d6688530990d,hiddenSingle,9
hsp-7abfb37f742f17cf9e97,fullHouse,21
hsp-7abfb37f742f17cf9e97,nakedSingle,28
hsp-7abfb37f742f17cf9e97,hiddenSingle,7
hsp-1fb8d3d780df864273fb,fullHouse,21
hsp-1fb8d3d780df864273fb,nakedSingle,24
hsp-1fb8d3d780df864273fb,hiddenSingle,11
hsp-374a5e20278d716c7660,fullHouse,21
hsp-374a5e20278d716c7660,nakedSingle,20
hsp-374a5e20278d716c7660,hiddenSingle,13
hsp-1d485764b11b0063cfcb,fullHouse,21
hsp-1d485764b11b0063cfcb,nakedSingle,32
hsp-1d485764b11b0063cfcb,hiddenSingle,4
hsp-db50269cb95f30baff42,fullHouse,21
hsp-db50269cb95f30baff42,nakedSingle,33
hsp-db50269cb95f30baff42,hiddenSingle,3
hsp-9d91caae1592c65b4f05,fullHouse,20
hsp-9d91caae1592c65b4f05,nakedSingle,28
hsp-9d91caae1592c65b4f05,hiddenSingle,9
hsp-501fabd5ce1395ff2421,fullHouse,21
hsp-501fabd5ce1395ff2421,nakedSingle,32
hsp-501fabd5ce1395ff2421,hiddenSingle,4
hsp-63484381bd5ca8a2c830,fullHouse,20
hsp-63484381bd5ca8a2c830,nakedSingle,29
hsp-63484381bd5ca8a2c830,hiddenSingle,8
hsp-1deebca285a8155bcc4f,fullHouse,21
hsp-1deebca285a8155bcc4f,nakedSingle,24
hsp-1deebca285a8155bcc4f,hiddenSingle,10
hsp-030b4541bbb8c7e4827e,fullHouse,20
hsp-030b4541bbb8c7e4827e,nakedSingle,26
hsp-030b4541bbb8c7e4827e,hiddenSingle,9
hsp-3e340e555edd76ce15a8,fullHouse,21
hsp-3e340e555edd76ce15a8,nakedSingle,24
hsp-3e340e555edd76ce15a8,hiddenSingle,10
hsp-686da9fde13cd8001f90,fullHouse,20
hsp-686da9fde13cd8001f90,nakedSingle,24
hsp-686da9fde13cd8001f90,hiddenSingle,11
hsp-fc53fbd5cc72394aa7a2,fullHouse,21
hsp-fc53fbd5cc72394aa7a2,nakedSingle,29
hsp-fc53fbd5cc72394aa7a2,hiddenSingle,8
hsp-49f9a5effeebd39724f1,fullHouse,21
hsp-49f9a5effeebd39724f1,nakedSingle,31
hsp-49f9a5effeebd39724f1,hiddenSingle,6
hsp-b9d655122899aebfb59a,fullHouse,20
hsp-b9d655122899aebfb59a,nakedSingle,30
hsp-b9d655122899aebfb59a,hiddenSingle,8
hsp-0f5fd1ec97d180609b88,fullHouse,21
hsp-0f5fd1ec97d180609b88,nakedSingle,30
hsp-0f5fd1ec97d180609b88,hiddenSingle,5
hsp-406dbe4ec680c9b1a24f,fullHouse,21
hsp-406dbe4ec680c9b1a24f,nakedSingle,28
hsp-406dbe4ec680c9b1a24f,hiddenSingle,7
hsp-926a607ed58755341a4e,fullHouse,21
hsp-926a607ed58755341a4e,nakedSingle,22
hsp-926a607ed58755341a4e,hiddenSingle,13
hsp-cfb1adc2aa3b9dc1a994,fullHouse,21
hsp-cfb1adc2aa3b9dc1a994,nakedSingle,28
hsp-cfb1adc2aa3b9dc1a994,hiddenSingle,7
hsp-1c1ec782e7787e3b72ac,fullHouse,20
hsp-1c1ec782e7787e3b72ac,nakedSingle,27
hsp-1c1ec782e7787e3b72ac,hiddenSingle,9
hsp-4bc7e2219e26385e0ba1,fullHouse,20
hsp-4bc7e2219e26385e0ba1,nakedSingle,25
hsp-4bc7e2219e26385e0ba1,hiddenSingle,11
hsp-68c76ad7e1b46ea24bd2,fullHouse,21
hsp-68c76ad7e1b46ea24bd2,nakedSingle,28
hsp-68c76ad7e1b46ea24bd2,hiddenSingle,7
hsp-48eb54cb68235e154dcb,fullHouse,21
hsp-48eb54cb68235e154dcb,nakedSingle,25
hsp-48eb54cb68235e154dcb,hiddenSingle,10
hsp-0ccde7412003ef0d1232,fullHouse,20
hsp-0ccde7412003ef0d1232,nakedSingle,27
hsp-0ccde7412003ef0d1232,hiddenSingle,9
hsp-f33e619747d50f9f316d,fullHouse,20
hsp-f33e619747d50f9f316d,nakedSingle,29
hsp-f33e619747d50f9f316d,hiddenSingle,7
hsp-189e1069e24799c521a1,fullHouse,19
hsp-189e1069e24799c521a1,nakedSingle,28
hsp-189e1069e24799c521a1,hiddenSingle,9
hsp-8e8172db0ddb12ac0852,fullHouse,20
hsp-8e8172db0ddb12ac0852,nakedSingle,25
hsp-8e8172db0ddb12ac0852,hiddenSingle,11
hsp-cf485c08ff982ff37841,fullHouse,20
hsp-cf485c08ff982ff37841,nakedSingle,29
hsp-cf485c08ff982ff37841,hiddenSingle,7
hsp-058f6b3393e6ad44565f,fullHouse,21
hsp-058f6b3393e6ad44565f,nakedSingle,26
hsp-058f6b3393e6ad44565f,hiddenSingle,9
hsp-b535758c3d8ae9c2655e,fullHouse,20
hsp-b535758c3d8ae9c2655e,nakedSingle,22
hsp-b535758c3d8ae9c2655e,hiddenSingle,14
hsp-6b41d7c7e0a761c7e5c5,fullHouse,20
hsp-6b41d7c7e0a761c7e5c5,nakedSingle,25
hsp-6b41d7c7e0a761c7e5c5,hiddenSingle,11
hsp-1af424b73d3f95e44bd9,fullHouse,21
hsp-1af424b73d3f95e44bd9,nakedSingle,26
hsp-1af424b73d3f95e44bd9,hiddenSingle,7
hsp-68f1c433cf76a5c3e913,fullHouse,20
hsp-68f1c433cf76a5c3e913,nakedSingle,29
hsp-68f1c433cf76a5c3e913,hiddenSingle,5
hsp-7967eb1458f7d802c645,fullHouse,21
hsp-7967eb1458f7d802c645,nakedSingle,24
hsp-7967eb1458f7d802c645,hiddenSingle,9
hsp-12b5ee4af763ac69591b,fullHouse,21
hsp-12b5ee4af763ac69591b,nakedSingle,26
hsp-12b5ee4af763ac69591b,hiddenSingle,10
hsp-e64bc23a801bd5d8a023,fullHouse,21
hsp-e64bc23a801bd5d8a023,nakedSingle,29
hsp-e64bc23a801bd5d8a023,hiddenSingle,7
hsp-51ccf0ae5bcb804c67dc,fullHouse,21
hsp-51ccf0ae5bcb804c67dc,nakedSingle,29
hsp-51ccf0ae5bcb804c67dc,hiddenSingle,7
hsp-138b5fc94da587c16afa,fullHouse,21
hsp-138b5fc94da587c16afa,nakedSingle,31
hsp-138b5fc94da587c16afa,hiddenSingle,5
hsp-1f856695067406792a1a,fullHouse,20
hsp-1f856695067406792a1a,nakedSingle,27
hsp-1f856695067406792a1a,hiddenSingle,8
hsp-17adece80901a7921854,fullHouse,21
hsp-17adece80901a7921854,nakedSingle,26
hsp-17adece80901a7921854,hiddenSingle,8
hsp-0d02da8ef0cd23e2498c,fullHouse,19
hsp-0d02da8ef0cd23e2498c,nakedSingle,30
hsp-0d02da8ef0cd23e2498c,hiddenSingle,6
hsp-d2ab8c01bf640844494d,fullHouse,20
hsp-d2ab8c01bf640844494d,nakedSingle,28
hsp-d2ab8c01bf640844494d,hiddenSingle,7
hsp-91113f9002fb57ebc710,fullHouse,21
hsp-91113f9002fb57ebc710,nakedSingle,26
hsp-91113f9002fb57ebc710,hiddenSingle,8
hsp-b4ffb40825472635df9c,fullHouse,20
hsp-b4ffb40825472635df9c,nakedSingle,25
hsp-b4ffb40825472635df9c,hiddenSingle,10
hsp-6ad24246d0bee76f651e,fullHouse,20
hsp-6ad24246d0bee76f651e,nakedSingle,28
hsp-6ad24246d0bee76f651e,hiddenSingle,7
hsp-e6aa660bd9a56bcd486f,fullHouse,21
hsp-e6aa660bd9a56bcd486f,nakedSingle,29
hsp-e6aa660bd9a56bcd486f,hiddenSingle,8
hsp-15ff0d57b900e37b21a2,fullHouse,21
hsp-15ff0d57b900e37b21a2,nakedSingle,30
hsp-15ff0d57b900e37b21a2,hiddenSingle,7
hsp-af1ee85ccb1b2cc177b7,fullHouse,21
hsp-af1ee85ccb1b2cc177b7,nakedSingle,27
hsp-af1ee85ccb1b2cc177b7,hiddenSingle,10
hsp-5dc4f9e36cdb68a2b918,fullHouse,21
hsp-5dc4f9e36cdb68a2b918,nakedSingle,29
hsp-5dc4f9e36cdb68a2b918,hiddenSingle,8
hsp-80e87eaa3bd695917b43,fullHouse,21
hsp-80e87eaa3bd695917b43,nakedSingle,31
hsp-80e87eaa3bd695917b43,hiddenSingle,6
hsp-5e56b61390bb615d6c9a,fullHouse,21
hsp-5e56b61390bb615d6c9a,nakedSingle,25
